IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
164.152.26.70,2052,true,ORD,North America,Chicago,242 ms,5669 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,241 ms,5470 kB/s
158.178.149.73,443,true,FRA,Europe,Frankfurt,239 ms,5037 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,296 ms,4456 kB/s
193.123.57.144,443,true,FRA,Europe,Frankfurt,244 ms,4231 kB/s
141.147.85.167,8443,true,LHR,Europe,London,245 ms,3855 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,259 ms,3570 kB/s
132.145.54.84,8443,true,LHR,Europe,London,240 ms,3090 kB/s
141.148.242.113,8443,true,AMS,Europe,Amsterdam,289 ms,3071 kB/s
143.47.243.144,8443,true,LHR,Europe,London,243 ms,3065 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,274 ms,3058 kB/s
143.47.243.144,2053,true,LHR,Europe,London,256 ms,2933 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,329 ms,2873 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,249 ms,2419 kB/s
89.168.112.118,8443,true,FRA,Europe,Frankfurt,297 ms,2412 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,302 ms,2381 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,259 ms,2194 kB/s
141.144.198.113,2053,true,AMS,Europe,Amsterdam,255 ms,2134 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,245 ms,2076 kB/s
132.145.54.84,2053,true,LHR,Europe,London,242 ms,2001 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,260 ms,1982 kB/s
158.101.199.249,8443,true,AMS,Europe,Amsterdam,291 ms,1875 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,293 ms,1817 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,252 ms,1811 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,290 ms,1788 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,299 ms,1580 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,292 ms,1579 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,296 ms,1489 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,314 ms,1164 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,268 ms,1068 kB/s
141.147.61.116,2053,true,FRA,Europe,Frankfurt,314 ms,1068 kB/s
84.8.158.182,443,true,FRA,Europe,Frankfurt,280 ms,1046 kB/s
158.101.15.48,443,true,LAX,North America,Los Angeles,238 ms,1004 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,306 ms,892 kB/s
141.144.198.113,8443,true,AMS,Europe,Amsterdam,262 ms,713 kB/s
144.24.200.164,443,true,MRS,Europe,Marseille,250 ms,619 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,229 ms,246 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,371 ms,236 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,377 ms,223 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,380 ms,217 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,291 ms,141 kB/s
141.147.61.116,8443,true,FRA,Europe,Frankfurt,310 ms,93 kB/s
132.226.163.224,2053,true,GRU,South America,São Paulo,371 ms,67 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,371 ms,19 kB/s
158.101.71.60,443,true,NRT,Asia Pacific,Tokyo,126 ms,16 kB/s
